,cliente,produc,mes,ventas_totales,unidades_totales,dias_con_venta,dias_mes,frecuencia_pct,descrip,depo,tipo_negocio,lista_precios,condi_venta,vende,linea_nume,sin_venta
0,4627,000-000-2001,2022-01,-0.4415261410627742,-0.22155905200301784,1.0,31.0,0.03225806451612903,mogul tiburoncitos x 12 uds.,1.0,1.0,2.0,00,1.0,3.0,False
1,4627,000-000-2001,2022-02,-0.4314161469808963,-0.1479694446567529,2.0,28.0,0.07142857142857142,mogul tiburoncitos x 12 uds.,1.0,1.0,2.0,00,1.0,3.0,False
2,4627,000-000-2001,2022-03,-0.4186167401351404,-0.07437983731048799,3.0,31.0,0.0967741935483871,mogul tiburoncitos x 12 uds.,1.0,1.0,2.0,00,1.0,3.0,False
3,4627,000-000-2001,2022-04,-0.43851018936660746,-0.22155905200301784,1.0,30.0,0.03333333333333333,mogul tiburoncitos x 12 uds.,1.0,1.0,2.0,00,1.0,3.0,False
4,4627,000-000-2001,2022-05,-0.42329485927694477,-0.1479694446567529,2.0,31.0,0.06451612903225806,mogul tiburoncitos x 12 uds.,1.0,1.0,2.0,00,1.0,3.0,False
5,4627,000-000-2001,2022-06,-0.43532595228887866,-0.22155905200301784,1.0,30.0,0.03333333333333333,mogul tiburoncitos x 12 uds.,1.0,1.0,2.0,00,1.0,3.0,False
6,4627,000-000-2001,2022-07,-0.41560331364553776,-0.1479694446567529,2.0,31.0,0.06451612903225806,mogul tiburoncitos x 12 uds.,1.0,1.0,2.0,00,1.0,3.0,False
7,4627,000-000-2001,2022-08,,,,,,,,,,,,,True
8,4627,000-000-2001,2022-09,-0.42789665710896063,-0.22155905200301784,1.0,30.0,0.03333333333333333,mogul tiburoncitos x 12 uds.,1.0,1.0,2.0,00,1.0,3.0,False
9,4627,000-000-2001,2022-10,-0.42412836528288755,-0.22155905200301784,1.0,31.0,0.03225806451612903,mogul tiburoncitos x 12 uds.,1.0,1.0,2.0,00,1.0,3.0,False
10,4627,000-000-2001,2022-11,-0.42180707373760823,-0.22155905200301784,1.0,30.0,0.03333333333333333,mogul tiburoncitos x 12 uds.,1.0,1.0,2.0,00,1.0,3.0,False
11,4627,000-000-2001,2022-12,,,,,,,,,,,,,True
12,4627,000-000-2001,2023-01,,,,,,,,,,,,,True
13,4627,000-000-2001,2023-02,-0.4065976665183917,-0.22155905200301784,1.0,28.0,0.03571428571428571,mogul tiburoncitos x 12 uds.,1.0,1.0,2.0,00,1.0,3.0,False
14,4627,000-000-2001,2023-03,-0.3538892753533714,-0.1479694446567529,2.0,31.0,0.06451612903225806,mogul tiburoncitos x 12 uds.,1.0,1.0,2.0,00,1.0,3.0,False
15,4627,000-000-2001,2023-04,,,,,,,,,,,,,True
16,4627,000-000-2001,2023-05,-0.3224924516825778,-0.1479694446567529,1.0,31.0,0.03225806451612903,mogul tiburoncitos x 12 uds.,1.0,1.0,2.0,00,1.0,3.0,False
17,4627,000-000-2001,2023-06,-0.3737805734972635,-0.22155905200301784,1.0,30.0,0.03333333333333333,mogul tiburoncitos x 12 uds.,1.0,1.0,2.0,00,1.0,3.0,False
18,4627,000-000-2001,2023-07,-0.363703845825779,-0.22155905200301784,1.0,31.0,0.03225806451612903,mogul tiburoncitos x 12 uds.,1.0,1.0,2.0,00,1.0,3.0,False
19,4627,000-000-2001,2023-08,-0.2283028037344659,-0.1479694446567529,2.0,31.0,0.06451612903225806,mogul tiburoncitos x 12 uds.,1.0,1.0,2.0,00,1.0,3.0,False
20,4627,000-000-2001,2023-09,,,,,,,,,,,,,True
21,4627,000-000-2001,2023-10,,,,,,,,,,,,,True
22,4627,000-000-2001,2023-11,-0.21096918136546414,-0.22155905200301784,1.0,30.0,0.03333333333333333,mogul tiburoncitos x 12 uds.,1.0,1.0,2.0,00,1.0,3.0,False
23,4627,000-000-2001,2023-12,,,,,,,,,,,,,True
24,4627,000-000-2001,2024-01,0.2270546279218286,-0.22155905200301784,1.0,31.0,0.03225806451612903,mogul tiburoncitos x 12 uds.,1.0,1.0,2.0,00,1.0,3.0,False
25,4627,000-000-2001,2024-02,0.09052421597010374,-0.22155905200301784,1.0,29.0,0.034482758620689655,mogul tiburoncitos x 12 uds.,1.0,1.0,2.0,00,1.0,3.0,False
26,4627,000-000-2001,2024-03,,,,,,,,,,,,,True
27,4627,000-000-2001,2024-04,0.155727942746445,-0.22155905200301784,1.0,30.0,0.03333333333333333,mogul tiburoncitos x 12 uds.,1.0,1.0,2.0,00,1.0,3.0,False
