entidad,producto,score,coverage,rank
296,000-000-4056,12.273298997457783,2.0,1
296,000-000-1009,11.503002669736517,4.0,2
296,000-000-4053,11.271530156908355,2.0,3
296,000-000-11283,10.987328098972984,4.0,4
296,000-000-3312,10.932964014076186,3.0,5
296,000-000-13358,10.785195897950683,4.0,6
296,000-000-6072,10.62690054439809,2.0,7
296,000-000-6596,10.161118590633759,4.0,8
296,000-000-5312,10.146780034133965,4.0,9
296,000-000-11586,9.798862422589337,4.0,10
526,000-000-2001,12.975805256496518,11.0,1
526,000-000-6020,12.612702233510412,16.0,2
526,000-000-13348,11.264431002553152,13.0,3
526,000-000-10173,10.836991821697323,16.0,4
526,000-000-10174,10.377616519339893,16.0,5
526,000-000-11646,10.298748829993395,14.0,6
526,000-000-7198,9.988651013531152,16.0,7
526,000-000-1782,9.870892946201858,9.0,8
526,000-000-13216,9.666537621109121,6.0,9
526,000-000-11803,9.611438007495513,14.0,10
901,000-000-10173,14.137509097788799,3.0,1
901,000-000-3176,13.201300557660886,3.0,2
901,000-000-9419,13.029433858981065,3.0,3
901,000-000-10130,12.561489514764835,3.0,4
901,000-000-10204,11.830127018922191,2.0,5
901,000-000-11828,11.737547899806572,3.0,6
901,000-000-12882,11.547005383792515,1.0,7
901,000-000-11803,11.466751022037727,3.0,8
901,000-000-9341,11.460658834735236,3.0,9
901,000-000-10129,11.285897331869066,3.0,10
964,000-000-9341,16.385638405530816,7.0,1
964,000-000-10130,14.228905827914307,7.0,2
964,000-000-10174,12.926499039452526,7.0,3
964,000-000-7198,12.833331912161462,6.0,4
964,000-000-13451,11.920791213585394,1.0,5
964,000-000-10129,11.913973727067278,7.0,6
964,000-000-11646,11.84790886104477,5.0,7
964,000-000-1999,11.544344783137003,7.0,8
964,000-000-11834,11.436098065113384,6.0,9
964,000-000-13348,11.35564864583081,7.0,10
1299,000-000-6072,16.223695846934074,3.0,1
1299,000-000-13612,14.71102889096078,2.0,2
1299,000-000-6140,12.712162407104527,5.0,3
1299,000-000-10342,12.586842936477188,4.0,4
1299,000-000-6074,12.309255587695905,4.0,5
1299,000-000-6596,11.843865774273686,4.0,6
1299,000-000-11586,11.810294294582523,4.0,7
1299,000-000-13326,11.523324131915713,3.0,8
1299,000-000-13783,11.064332510697039,4.0,9
1299,000-000-13325,10.735860702900155,4.0,10
1745,000-000-6973,6.123724356957944,1.0,1
1745,000-000-13783,5.47722557505166,1.0,2
1745,000-000-6596,5.0,1.0,3
1745,000-000-5312,4.47213595499958,1.0,4
1745,000-000-6140,3.3968311024337874,1.0,5
1745,000-000-9341,0.0,0.0,6
1745,000-000-9419,0.0,0.0,7
1745,000-000-7049,0.0,0.0,8
1745,000-000-7167,0.0,0.0,9
1745,000-000-7198,0.0,0.0,10
1923,000-000-9419,16.07770019384596,7.0,1
